species,mass,molecular_weight,GC_content
Ursus spelaeus,550.8,42458.79919999999,8
Ursus arctos,203.5,42414.743499999975,8
Ursus thibetanus,99.714,42306.67349999998,8
Melursus ursinus,100.03,42551.98999999998,8
Ursus americanus,110.56,42427.74389999999,8
Helarctos malayanus,47.02,42560.89100000001,8
Ailuropoda melanoleuca,118.2,42702.184499999996,7
Tremarctos ornatus,140.7,42384.82659999999,8
Ursus maritimus,425.1,42454.78729999998,8
